"","plant","capacity","designed_capacity","complete","generated_el","time","month","year","parent_company","op_time"
"1","万家寨水电",54,54,0.83,2.033,376.519,3,"17","else",NA
"2","万家寨水电",54,54,0.53,7.355,1361.995,12,"17","else",NA
"3","万家寨水电",54,54,0.685,6.855,1269.519,12,"16","else",NA
"4","万家寨水电",54,54,0.495,2.529,468.241,4,"17","else",NA
"5","万家寨水电",54,54,0.462,3.119,577.685,6,"17","else",NA
"6","万家寨水电",54,54,0.129,2.657,492.056,5,"17","else",NA
"7","万家寨水电",54,54,0.856,7.119,1318.302,10,"17","else",NA
"8","万家寨水电",54,54,0.394,4.024,745.204,8,"17","else",NA
"9","万家寨水电",54,54,1.202,8.418,1558.879,11,"17","else",NA
"10","万家寨水电",54,54,0.469,0.469,86.852,1,"17","else",NA
"11","万家寨水电",54,54,0.734,1.203,222.759,2,"17","else",NA
"12","万家寨水电",54,54,0.511,3.63,672.296,7,"17","else",NA
"11000","万家寨水电",54,54,3.634,14.184,2627,7,"19","else",NA
"268","万家寨水电",54,54,0.871,1.644,304.379,2,"18","else",NA
"3335","万家寨水电",54,54,0.952,3.469,642.496,4,"18","else",NA
"4469","万家寨水电",54,54,1.437,6.151,1139.001,6,"18","else",NA
"5294","万家寨水电",54,54,2.266,6.118,1133,4,"19","else",NA
"61000","万家寨水电",54,54,1.145,2.339,433,2,"19","else",NA
"7918","万家寨水电",54,54,1.513,3.852,713,3,"19","else",NA
"8111","万家寨水电",54,54,1.263,6.21,1149.977,5,"20","else",NA
"9666","万家寨水电",54,54,1.193,1.193,221,1,"19","else",NA
"10100","万家寨水电",54,54,2.521,12.551,2324.35,10,"18","else",NA
"11100","万家寨水电",54,54,1.081,24.7,4574.01,12,"19","else",NA
"12100","万家寨水电",54,54,1.731,14.282,2644.87,11,"18","else",NA
"13","万家寨水电",54,54,0.682,0.682,126.24,1,"18","else",NA
"14100","万家寨水电",54,54,2.076,8.227,1523.45,7,"18","else",NA
"15100","万家寨水电",54,54,1.185,10.03,1857.41,9,"18","else",NA
"16100","万家寨水电",54,54,2.354,10.55,1954,6,"19","else",NA
"17","万家寨水电",54,54,1.24,2.211,410,2,"20","else",NA
"18","万家寨水电",54,54,0.619,8.845,1638.03,8,"18","else",NA
"19100","万家寨水电",54,54,1.244,4.714,872.931,5,"18","else",NA
"20100","万家寨水电",54,54,2.577,21.434,3969,10,"19","else",NA
"21100","万家寨水电",54,54,2.184,23.619,4374,11,"19","else",NA
"22100","万家寨水电",54,54,1.685,15.869,2939,8,"19","else",NA
"23100","万家寨水电",54,54,2.077,8.196,1518,5,"19","else",NA
"24100","万家寨水电",54,54,1.008,2.517,466.108,3,"18","else",NA
"25100","万家寨水电",54,54,1.427,4.947,916.161,4,"20","else",NA
"26100","万家寨水电",54,54,2.989,18.858,3492,9,"19","else",NA
"27100","万家寨水电",54,54,0.971,0.971,180,1,"20","else",NA
"28100","万家寨水电",54,54,1.866,8.076,1495.492,6,"20","else",NA
"29100","万家寨水电",54,54,1.11,15.392,2850.35,12,"18","else",NA
"30100","万家寨水电",54,54,1.309,3.52,652,3,"20","else",NA
"31","上坡光伏",15,15,0.006,0.032,21,2,"20","else",2019
"32100","上坡光伏",15,15,0.002,0.002,1.173,12,"19","else",2019
"33100","上坡光伏",15,15,0.026,0.026,17,1,"20","else",2019
"3467","上坡光伏",15,15,0.152,0.263,NA,4,"20","else",2019
"35100","上坡光伏",15,15,0.081,0.139,5842,3,"20","else",2019
"36100","上坡光伏",15,15,0.17,0.433,288.842,5,"20","else",2019
"37100","上坡光伏",15,15,0.128,0.561,374.225,6,"20","else",2019
"14","上田光伏",4,4,0.053,0.25,626.247,12,"17","代县宝通光能新能源科技有限公司",NA
"15","上田光伏",4,4,0.062,0.198,494.26,11,"17","代县宝通光能新能源科技有限公司",NA
"16","上田光伏",4,4,0.046,0.135,338.46,10,"17","代县宝通光能新能源科技有限公司",NA
"38100","上田光伏",4,4,0.052,0.052,131.055,1,"18","代县宝通光能新能源科技有限公司",NA
"3966","上田光伏",4,4,0.057,0.109,273.172,2,"18","代县宝通光能新能源科技有限公司",NA
"4035","上田光伏",4,4,0.067,0.303,756.958,5,"18","代县宝通光能新能源科技有限公司",NA
"41100","上田光伏",4,4,0.065,0.236,590.088,4,"18","代县宝通光能新能源科技有限公司",NA
"42100","上田光伏",4,4,0.062,0.171,427.432,3,"18","代县宝通光能新能源科技有限公司",NA
"43100","上田光伏",4,4,0.056,0.42,1049.92,7,"18","代县宝通光能新能源科技有限公司",NA
"44100","上田光伏",4,4,0.062,0.364,911.058,6,"18","代县宝通光能新能源科技有限公司",NA
"45100","上田光伏",4,4,0.054,0.474,1184.87,8,"18","代县宝通光能新能源科技有限公司",NA
"4656","上田光伏",4,4,0.053,0.527,1317.86,9,"18","代县宝通光能新能源科技有限公司",NA
"47100","上田光伏",4,4,0.065,0.24,600,4,"19","代县宝通光能新能源科技有限公司",2017
"48100","上田光伏",4,4,0.06,0.376,940,6,"19","代县宝通光能新能源科技有限公司",2017
"49100","上田光伏",4,4,0.051,0.644,1609.37,11,"18","代县宝通光能新能源科技有限公司",2017
"50100","上田光伏",4,4,0.059,0.616,1540,10,"19","代县宝通光能新能源科技有限公司",2017
"51100","上田光伏",4,4,0.052,0.104,261,2,"19","代县宝通光能新能源科技有限公司",2017
"52100","上田光伏",4,4,0.055,0.716,1789.658,12,"19","代县宝通光能新能源科技有限公司",2017
"53100","上田光伏",4,4,0.066,0.495,1237,8,"19","代县宝通光能新能源科技有限公司",2017
"5497","上田光伏",4,4,0.075,0.252,630.095,4,"20","代县宝通光能新能源科技有限公司",2017
"55100","上田光伏",4,4,0.071,0.175,437,3,"19","代县宝通光能新能源科技有限公司",2017
"56100","上田光伏",4,4,0.047,0.047,117,1,"20","代县宝通光能新能源科技有限公司",2017
"57100","上田光伏",4,4,0.055,0.102,255,2,"20","代县宝通光能新能源科技有限公司",2017
"58100","上田光伏",4,4,0.076,0.316,790,5,"19","代县宝通光能新能源科技有限公司",2017
"5965","上田光伏",4,4,0.075,0.177,441,3,"20","代县宝通光能新能源科技有限公司",2017
"60100","上田光伏",4,4,0.069,0.321,801.518,5,"20","代县宝通光能新能源科技有限公司",2017
"61100","上田光伏",4,4,0.062,0.557,1393,9,"19","代县宝通光能新能源科技有限公司",2017
"62100","上田光伏",4,4,0.042,0.658,1646,11,"19","代县宝通光能新能源科技有限公司",2017
"63100","上田光伏",4,4,0.053,0.429,1073,7,"19","代县宝通光能新能源科技有限公司",2017
"64100","上田光伏",4,4,0.06,0.38,950.505,6,"20","代县宝通光能新能源科技有限公司",2017
"65100","上田光伏",4,4,0.053,0.053,132,1,"19","代县宝通光能新能源科技有限公司",2017
"66100","上田光伏",4,4,0.048,0.692,1730.59,12,"18","代县宝通光能新能源科技有限公司",2017
"67100","上田光伏",4,4,0.066,0.593,1483.07,10,"18","代县宝通光能新能源科技有限公司",2017
"68","下堡头电厂",16,16,0.258,1.623,1868,11,"19","else",2019
"69100","下堡头电厂",16,16,0,1.365,1707,4,"19","else",2019
"71100","下堡头电厂",16,16,0,0.595,371.777,5,"20","else",2019
"72100","下堡头电厂",8,8,0.299,1.365,1707,3,"19","else",2019
"73100","下堡头电厂",16,16,0,1.365,1707,7,"19","else",2019
"74100","下堡头电厂",16,16,0,0.595,372,3,"20","else",2019
