"","X","plant","capacity","complete","generated_el","time","month","year","parent_company","op_time","area","area3","plant_1","wind","Hydro","photovoltaic","Fossil.fuel","big_five"
"1",1,"万家寨水电",54,86.2,4.9,907.399,9,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"2",2,"万家寨水电",54,46.9,0.469,86.852,1,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"3",3,"万家寨水电",54,83,2.033,376.519,3,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"4",4,"万家寨水电",54,126.3,6.21,1149.977,5,20,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"5",5,"万家寨水电",54,53,7.355,1361.995,12,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"6",6,"万家寨水电",54,252.1,12.551,2324.35,10,18,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"7",7,"万家寨水电",54,207.7,8.196,1518,5,19,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"8",8,"万家寨水电",54,257.7,21.434,3969,10,19,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"9",9,"万家寨水电",54,218.4,23.619,4374,11,19,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"10",10,"万家寨水电",54,168.5,15.869,2939,8,19,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"11",11,"万家寨水电",54,61.9,8.845,1638.03,8,18,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"12",12,"万家寨水电",54,100.8,2.517,466.108,3,18,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"13",13,"万家寨水电",54,73.4,1.203,222.759,2,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
"14",14,"万家寨水电",54,124,2.211,410,2,20,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,"0"
