"","X.1","X","plant","capacity","complete","generated_el","time","month","year","parent_company","op_time","area","area3","plant_1","wind","Hydro","photovoltaic","Fossil.fuel","big_five","yearmonth","bf_covid","type_of_p"
"1",1,1,"万家寨水电",54,8620,4.9,907.399,9,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Sep 2017,"1","hydro"
"2",2,2,"万家寨水电",54,4690,0.469,86.852,1,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Jan 2017,"1","hydro"
"3",3,3,"万家寨水电",54,8300,2.033,376.519,3,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Mar 2017,"1","hydro"
"4",4,4,"万家寨水电",54,12630,6.21,1149.977,5,20,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,May 2020,"0","hydro"
"5",5,5,"万家寨水电",54,5300,7.355,1361.995,12,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Dec 2017,"1","hydro"
"6",6,6,"万家寨水电",54,25210,12.551,2324.35,10,18,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Oct 2018,"1","hydro"
"7",7,7,"万家寨水电",54,20770,8.196,1518,5,19,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,May 2019,"1","hydro"
"8",8,8,"万家寨水电",54,25770,21.434,3969,10,19,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Oct 2019,"1","hydro"
"9",9,9,"万家寨水电",54,21840,23.619,4374,11,19,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Nov 2019,"1","hydro"
"10",10,10,"万家寨水电",54,16850,15.869,2939,8,19,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Aug 2019,"1","hydro"
"11",11,11,"万家寨水电",54,6190,8.845,1638.03,8,18,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Aug 2018,"1","hydro"
"12",12,12,"万家寨水电",54,10080,2.517,466.108,3,18,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Mar 2018,"1","hydro"
"13",13,13,"万家寨水电",54,7340,1.203,222.759,2,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Feb 2017,"1","hydro"
"14",14,14,"万家寨水电",54,12400,2.211,410,2,20,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Feb 2020,"0","hydro"
"15",15,15,"万家寨水电",54,8560,7.119,1318.302,10,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Oct 2017,"1","hydro"
"16",16,16,"万家寨水电",54,12440,4.714,872.931,5,18,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,May 2018,"1","hydro"
"17",17,17,"万家寨水电",54,6850,6.855,1269.519,12,16,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Dec 2016,"1","hydro"
"18",18,18,"万家寨水电",54,4950,2.529,468.241,4,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Apr 2017,"1","hydro"
"19",19,19,"万家寨水电",54,10810,24.7,4574.01,12,19,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Dec 2019,"1","hydro"
"20",20,20,"万家寨水电",54,11930,1.193,221,1,19,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Jan 2019,"1","hydro"
"21",21,21,"万家寨水电",54,13090,3.52,652,3,20,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Mar 2020,"0","hydro"
"22",22,22,"万家寨水电",54,17310,14.282,2644.87,11,18,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Nov 2018,"1","hydro"
"23",23,23,"万家寨水电",54,12020,8.418,1558.879,11,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Nov 2017,"1","hydro"
"24",24,24,"万家寨水电",54,18660,8.076,1495.492,6,20,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Jun 2020,"0","hydro"
"25",25,25,"万家寨水电",54,6820,0.682,126.24,1,18,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Jan 2018,"1","hydro"
"26",26,26,"万家寨水电",54,11450,2.339,433,2,19,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Feb 2019,"1","hydro"
"27",27,27,"万家寨水电",54,1290,2.657,492.056,5,17,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,May 2017,"1","hydro"
"28",28,28,"万家寨水电",54,15130,3.852,713,3,19,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Mar 2019,"1","hydro"
"29",29,29,"万家寨水电",54,11100,15.392,2850.35,12,18,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,Dec 2018,"1","hydro"
