"","area3","year","GDP","GDP per capita","GDPperMonth","X.1","X","month","capacity","complete","generated_el","time","parent_company","op_time","area","plant_1","wind","Hydro","photovoltaic","Fossil.fuel","big_five","yearmonth","bf_covid","type_of_p","af_covid","new_case","on_covid","efficiency"
"1","changzhi",16,NA,NA,NA,20,20,12,27,7210,8.61,3188.852,"潞安集团",0,"长治市屯留县","yuwudianchang",0,0,0,1,0,"Dec 2016",1,"fossil-fuel",0,0,0,0.370884773662551
"2","changzhi",16,NA,NA,NA,23,23,12,66,33590,25.299,3833.227,"晋能集团",0,"长治市长子县","lanshuidianchang",0,0,0,1,0,"Dec 2016",1,"fossil-fuel",0,0,0,0.706860269360269
"3","changzhi",16,NA,NA,NA,72,72,12,24.9,3610,3.774,1515.736,"国电集团公司",2013,"长治市沁源县","taiyueshanfengdianchang",1,0,0,0,1,"Dec 2016",1,"wind",0,0,0,0.201360999553771
"4","changzhi",16,NA,NA,NA,83,83,12,27,7320,8.234,3049.519,"潞安集团",0,"长治市屯留县","ronghaidianchang",0,0,0,1,0,"Dec 2016",1,"fossil-fuel",0,0,0,0.376543209876543
"5","changzhi",16,NA,NA,NA,100,100,12,120,33240,47.361,3946.783,"京能集团",0,"长治市郊","zhangshanerqi",0,0,0,1,0,"Dec 2016",1,"fossil-fuel",0,0,0,0.384722222222222
"6","changzhi",16,NA,NA,NA,135,135,12,120,34010,45.102,3758.483,"焦煤集团",0,"长治市武乡县","wuxiangdianchang",0,0,0,1,0,"Dec 2016",1,"fossil-fuel",0,0,0,0.393634259259259
"7","changzhi",16,NA,NA,NA,147,147,12,4.95,660,0.734,1482.137,"else",0,"长治市平顺县","hongtiguanfengdianchang",1,0,0,0,0,"Dec 2016",1,"wind",0,0,0,0.185185185185185
"8","changzhi",16,NA,NA,NA,153,153,12,60,15880,15.691,2615.133,"京能集团",0,"长治市郊","zhangshanyiqi",0,0,0,1,0,"Dec 2016",1,"fossil-fuel",0,0,0,0.367592592592593
"9","changzhi",16,NA,NA,NA,156,156,12,84,23470,24.18,2878.571,"同煤集团",0,"长治市郊区","zhangzedianchang",0,0,0,1,0,"Dec 2016",1,"fossil-fuel",0,0,0,0.388062169312169
"10","changzhi",16,NA,NA,NA,163,163,12,3,240,0.202,672.857,"同煤集团",0,"长治市平顺县","longxiguangfu",0,0,1,0,0,"Dec 2016",1,"photovoltaic",0,0,0,0.111111111111111
"11","changzhi",16,NA,NA,NA,197,197,12,27,7230,6.702,2482.185,"晋煤集团",0,"长治市武乡县","jinyangdianchang",0,0,0,1,0,"Dec 2016",1,"fossil-fuel",0,0,0,0.371913580246914
"12","changzhi",17,14775312,42887,1231276,1602,1602,7,3,210,0.021,69,"else",2017,"长治市长子县","baicaoshanguangfu",0,0,1,0,0,"Jul 2017",1,"photovoltaic",0,0,0,0.0972222222222222
"13","changzhi",17,14775312,42887,1231276,2720,2720,12,27,10130,8.121,3007.86,"潞安集团",0,"长治市屯留县","yuwudianchang",0,0,0,1,0,"Dec 2017",1,"fossil-fuel",0,0,0,0.521090534979424
"14","changzhi",17,14775312,42887,1231276,2923,2923,12,4,420,0.214,535.915,"else",2017,"长治市潞城县","shengyangguangfu",0,0,1,0,0,"Dec 2017",1,"photovoltaic",0,0,0,0.145833333333333
