"year","month","capacity","complete","generated_el","time","parent_company","op_time","area","area3","plant_1","wind","Hydro","photovoltaic","Fossil.fuel","big_five","yearmonth","bf_covid","type_of_p","af_covid","new_case"
16,12,54,6850,6.855,1269.519,"else",0,"忻州市偏关县","xinzhou","wanjiazhaishuidian",0,1,0,0,0,"Dec 2016","1","hydro","0",0
16,12,3,240,0.427,1423.749,"中广核集团",2015,"大同市大同县","datong","shihuaguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,86,47570,25.451,2959.372,"华能集团公司",2017,"太原市杏花岭区","taiyuan","dongshanranqi",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
16,12,9.78,1500,1.808,1848.456,"中广核集团",2014,"阳泉市盂县","yangquan","dongliangfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,9.9,2360,1.867,1885.713,"华能集团公司",2011,"忻州市宁武县","xinzhou","dongmafangfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,3,210,0.236,788.098,"国家电投集团公司",2017,"运城市稷山县","yuncheng","zhongnengdaguangfu",0,0,1,0,1,"Dec 2016","1","photovoltaic","0",0
16,12,5,400,0.325,650.756,"上实航天星河能源股份有限公司",2017,"大同市广灵县","datong","fengzhuangguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,4.95,1300,1.563,3158.152,"中国华电集团有限公司",2015,"运城市盐湖区","yuncheng","jiuhefengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,44,23310,12.372,2811.727,"大唐集团公司",2003,"大同市平城区","datong","yungangyiqi",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
16,12,60,22100,19.598,3266.383,"格盟集团公司",0,"吕梁市柳林县","luliang","hongguangdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,60,35900,25.229,4204.817,"大唐集团公司",2009,"大同市平城区","datong","yungangerqi",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
16,12,27,9700,8.874,3286.667,"中煤集团",2011,"大同市南郊区","datong","yunfengdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,4.95,1410,1.59,3213.057,"北京天润新能",2013,"运城市平陆县","yuncheng","yungaisifengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,9.9,1420,1.707,1724.415,"国家电投集团",2011,"忻州市繁峙县","xinzhou","yunwuyufengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,12,2470,1.852,1543.32,"大唐集团公司",2008,"大同市左云县","datong","wulushanfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,66,29780,22.374,3390.015,"京能集团",2012,"朔州市右玉县","shuozhou","jingyudianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,12,8030,9.777,8147.5,"晋煤集团",0,"晋城市泽州县","jincheng","sihemeicengqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,9.7,1340,1.715,1767.824,"格盟集团公司",2009,"大同市新荣区","datong","xiaoyaoshanfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,10,4650,4.866,4866.1,"焦煤集团",2015,"晋中市灵石县","jinzhong","qiyuandianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,4.95,870,0.631,1275.254,"河北建设投资集团有限责任公司",2016,"大同市灵丘县","datong","yijiadianfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,27,7210,8.61,3188.852,"潞安集团",0,"长治市屯留县","changzhi","yuwudianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,3,330,0.433,1444.759,"协鑫集团",2017,"临汾市古县","linfen","jiashengguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,1,100,0.171,1713.265,"else",2017,"吕梁市交城县","luliang","yuankeguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,66,33590,25.299,3833.227,"晋能集团",0,"长治市长子县","changzhi","lanshuidianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,60,33010,22.083,3680.467,"格盟集团公司",2005,"临汾市霍州县","linfen","zhaoguangyiqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,120,11880,37.991,3165.917,"格盟集团公司",2009,"临汾市霍州县","linfen","zhaoguangerqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,40,22370,8.572,2142.925,"else",0,"运城市盐湖区","yuncheng","guanlvdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,20.95,1360,0.828,395.119,"晋能集团",2015,"朔州市平鲁县","shuozhou","songlinshanfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,60,33400,18.296,3049.333,"中煤集团",2010,"吕梁市孝义市","luliang","xingandianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,60,32620,24.61,4101.65,"焦煤集团",2005,"太原市古交市","taiyuan","xingnengyiqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,120,70790,47.111,3925.875,"焦煤集团",2008,"太原市古交市","taiyuan","xingnengerqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,9.15,1780,2.173,2375.092,"北京天润新能源",2014,"运城市绛县","yuncheng","lengkoufengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,4.95,1090,0.56,1131.012,"京能集团公司",2016,"大同市左云县","datong","liangchengfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,4.95,660,0.656,1326.263,"大唐集团公司",2013,"大同市浑源县","datong","lingyunkoufengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,9.9,1480,2.061,2082.302,"大唐集团公司",2012,"太原市娄烦县","taiyuan","liminfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,4.8,990,1.194,2487.199,"国家能源集团",2014,"忻州市定襄县","xinzhou","jinfengfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,9.9,1270,1.3,1313.231,"国电集团公司",2012,"忻州市定襄县","xinzhou","beishanfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,6.95,1390,1.153,1658.675,"中广核集团",2014,"运城市芮城县","yuncheng","shilipingfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,120,0,39.443,3286.883,"格盟集团公司",2005,"吕梁市柳林县","luliang","huaguangdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,60,27910,35.517,5919.483,"中铝集团",2005,"运城市河津市","yuncheng","huazedianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,12,1990,1.875,1562.361,"华润集团",2015,"忻州市原平县","xinzhou","zhuofenglingfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,29.85,3850,5.57,1865.975,"国电集团公司",2012,"忻州市静乐县","xinzhou","nanhuashanfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
