shanxiGDP
,GDP,GDP per capita,city,year,GDPperMonth,
,33821819,77536,taiyuan,17,2818484.917,
,11213101,32671,datong,17,934425.0833,
,6720222,47790,yangquan,17,560018.5,
,14775312,42887,changzhi,17,1231276,
,11515357,49487,jincheng,17,959613.0833,
,9802230,55316,shuozhou,17,816852.5,
,12849233,38274,jinzhong,17,1070769.417,
,13362914,25115,yuncheng,17,1113576.167,
,8744923,27665,xinzhou,17,728743.5833,
,13203300,29539,linfen,17,1100275,
,13103217,33886,lvliang,17,1091934.75,
,38844778,88272,taiyuan,18,3237064.833,
,12719898,36877,datong,18,1059991.5,
,7336944,51976,yangquan,18,611412,
,16456336,47640,changzhi,18,1371361.333,
,13618630,57819,jincheng,18,1134885.833,
,10656332,59914,shuozhou,18,888027.6667,
,14476039,42910,jinzhong,18,1206336.583,
,15096407,28229,yuncheng,18,1258033.917,
,9891298,31209,xinzhou,18,824274.8333,
,14400430,32066,linfen,18,1200035.833,
,14203198,36585,lvliang,18,1183599.833,
,40285100,90287,taiyuan,19,3357091.667,
,13188400,38059,datong,19,1099033.333,
,7189000,50653,yangquan,19,599083.3333,
,16521000,47500,changzhi,19,1376750,
,13624000,57884,jincheng,19,1135333.333,
,10617000,59456,shuozhou,19,884750,
,14600000,32384,jinzhong,19,1216666.667,
,15629000,29090,yuncheng,19,1302416.667,
,10016400,31549,xinzhou,19,834700,
,14526000,37318,linfen,19,1210500,
,15121000,44608,lvliang,19,1260083.333,
,18102000,40570.2176,taiyuan,20,3017000,
,6270000,18093.9257,datong,20,1045000,
,3340000,23533.3176,yangquan,20,556666.6667,
,7785999,22385.7486,changzhi,20,1297666.5,
,6419000,27272.2692,jincheng,20,1069833.333,
,4834000,27070.7642,shuozhou,20,805666.6667,
,6310000,13996.0986,jinzhong,20,1051666.667,
,7125000,13261.645,yuncheng,20,1187500,
,4590000,14457.2811,xinzhou,20,765000,
,6680000,17161.2447,linfen,20,1113333.333,
,6760500,19943.9444,lvliang,20,1126750,
